#EXPORTTYPE:                 ;DATA ALL                                  
#FILE:                       ;D10_enthalpy_2kmin_Tg.ngb-sdg             
#FORMAT:                     ;NETZSCH5                                  
#FTYPE:                      ;ASCII                                     
#IDENTITY:                   ;D10_enthalpy_2kmin_Tg                     
#DECIMAL:                    ;POINT                                     
#SEPARATOR:                  ;SEMICOLON                                 
#MTYPE:                      ;TMDSC                                     
#MSUBTYPE:                   ;DSC(raw)                                  
#INSTRUMENT:                 ;NETZSCH DSC 214                           
#PROJECT:                    ;PhD_jkjjo                                 
#DATE/TIME:                  ;16-05-2023 14:49:39 (UTC+2)               
#CORR. FILE:                 ;                                          
#TEMPCAL:                    ;applied                                   
#SENSITIVITY:                ;applied                                   
#LABORATORY:                 ;DTU Wind COM                              
#OPERATOR:                   ;Jesper                                    
#REMARK:                     ;SW2519-1BS1A - Enthalpy of fusion + Tg_inf
#SAMPLE:                     ;D10                                       
#SAMPLE MASS /mg:            ;19.2                                      
#MATERIAL:                   ;Epoxy                                     
#REFERENCE:                  ;Empty Pan                                 
#REFERENCE MASS /mg:         ;0                                         
#TYPE OF CRUCIBLE:           ;Concavus Pan Al, pierced lid              
#SAMPLE CRUCIBLE MASS /mg:   ;50.7                                      
#REFERENCE CRUCIBLE MASS /mg:;51.1                                      
#M.RANGE /‘V:                ;5000                                      
#TAU-R:                      ;---                                       
#CORR. CODE:                 ;000                                       
#EXO:                        ;-1                                        
#RANGE:                      ;-40›C..280›C/-50.0..2.0K/min-M/30/0.0..0.4
#SEGMENT:                    ;S1-6/6                                    
#SEG. 1:                     ;25›C/5.0(K/min)/-40›C                     
#SEG. 2:                     ;-40›C/00:05/-40›C                         
#SEG. 3:                     ;-40›C/2.0(K/min)/280›C                    
#SEG. 4:                     ;280›C/50.0(K/min)/20›C                    
#SEG. 5:                     ;20›C/00:01/20›C                           
#SEG. 6:                     ;20›C/2.0(K/min)/280›C-M/30/0.4            

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 25.05900;  0.00000; 1.377704e-002;3.63056;1
 25.05800;  0.00500; 1.357991e-002;3.63056;1
 25.05800;  0.01000; 1.345951e-002;3.63056;1
 25.05700;  0.01500; 1.338277e-002;3.63056;1
 25.05800;  0.02000; 1.333912e-002;3.63056;1
 25.05800;  0.02500; 1.327345e-002;3.63056;1
 25.05800;  0.03000; 1.317494e-002;3.63056;1
 25.05500;  0.03500; 1.308701e-002;3.63056;1
 25.05700;  0.04000; 1.301064e-002;3.63056;1
 25.05500;  0.04500; 1.295567e-002;3.63056;1
 25.05200;  0.05000; 1.298813e-002;3.63056;1
 25.04800;  0.05500; 1.302047e-002;3.63056;1
 25.04300;  0.06000; 1.306362e-002;3.63056;1
 25.03600;  0.06500; 1.311748e-002;3.63056;1
 25.03200;  0.07000; 1.319360e-002;3.63056;1
 25.02400;  0.07500; 1.325827e-002;3.63056;1
 25.01400;  0.08000; 1.326797e-002;3.63056;1
 25.00200;  0.08500; 1.320081e-002;3.63056;1
 24.99100;  0.09000; 1.307904e-002;3.63056;1
 24.97700;  0.09500; 1.293502e-002;3.63056;1
 24.96500;  0.10000; 1.257234e-002;3.63055;1
 24.94800;  0.10500; 1.207770e-002;3.63055;1
 24.93200;  0.11000; 1.147373e-002;3.63055;1
 24.91300;  0.11500; 1.082561e-002;3.63055;1
 24.89400;  0.12000; 1.000237e-002;3.63055;1
 24.87300;  0.12500; 9.025642e-003;3.63054;1
 24.85100;  0.13000; 7.972178e-003;3.63054;1
 24.82800;  0.13500; 6.754412e-003;3.63054;1
 24.80400;  0.14000; 5.284783e-003;3.63054;1
 24.77800;  0.14500; 3.749233e-003;3.63053;1
 24.75200;  0.15000; 2.016669e-003;3.63053;1
 24.72400;  0.15500; 1.415661e-004;3.63053;1
 24.69600;  0.16000;-1.810156e-003;3.63052;1
 24.66600;  0.16500;-3.915362e-003;3.63052;1
 24.63500;  0.17000;-6.283380e-003;3.63052;1
 24.60300;  0.17500;-8.750034e-003;3.63051;1
 24.57000;  0.18000;-1.135910e-002;3.63051;1
 24.53700;  0.18500;-1.406669e-002;3.63051;1
 24.50500;  0.19000;-1.689455e-002;3.63050;1
 24.46900;  0.19500;-1.978859e-002;3.63050;1
 24.43400;  0.20000;-2.289047e-002;3.63049;1
 24.39600;  0.20500;-2.602556e-002;3.63049;1
 24.36300;  0.21000;-2.929138e-002;3.63049;1
 24.32100;  0.21500;-3.270063e-002;3.63048;1
 24.28600;  0.22000;-3.611996e-002;3.63048;1
 24.24700;  0.22500;-3.964924e-002;3.63047;1
 24.20800;  0.23000;-4.327704e-002;3.63047;1
 24.16900;  0.23500;-4.692675e-002;3.63046;1
 24.12900;  0.24000;-5.065321e-002;3.63046;1
 24.09100;  0.24500;-5.442321e-002;3.63045;1
 24.05000;  0.25000;-5.824832e-002;3.63045;1
 24.01200;  0.25500;-6.208402e-002;3.63044;1
 23.97100;  0.26000;-6.590915e-002;3.63044;1
 23.92900;  0.26500;-6.974537e-002;3.63043;1
 23.89100;  0.27000;-7.354827e-002;3.63043;1
 23.85000;  0.27500;-7.738439e-002;3.63042;1
 23.80800;  0.28000;-8.126443e-002;3.63042;1
 23.77000;  0.28500;-8.503452e-002;3.63041;1
 23.72900;  0.29000;-8.880500e-002;3.63040;1
 23.68800;  0.29500;-9.257550e-002;3.63040;1
 23.65100;  0.30000;-9.623604e-002;3.63039;1
 23.61000;  0.30500;-9.986427e-002;3.63039;1
 23.57000;  0.31000;      -0.10347;3.63038;1
 23.52900;  0.31500;      -0.10703;3.63038;1
 23.49000;  0.32000;      -0.11045;3.63037;1
 23.45500;  0.32500;      -0.11383;3.63037;1
 23.41400;  0.33000;      -0.11716;3.63036;1
 23.37600;  0.33500;      -0.12038;3.63036;1
 23.33900;  0.34000;      -0.12356;3.63035;1
 23.30200;  0.34500;      -0.12666;3.63034;1
 23.26300;  0.35000;      -0.12966;3.63034;1
 23.22700;  0.35500;      -0.13254;3.63033;1
 23.19300;  0.36000;      -0.13524;3.63033;1
 23.15600;  0.36500;      -0.13790;3.63032;1
 23.12100;  0.37000;      -0.14046;3.63032;1
 23.08600;  0.37500;      -0.14298;3.63031;1
 23.05100;  0.38000;      -0.14527;3.63031;1
 23.01800;  0.38500;      -0.14750;3.63030;1
 22.98500;  0.39000;      -0.14970;3.63030;1
 22.95200;  0.39500;      -0.15179;3.63029;1
 22.92000;  0.40000;      -0.15359;3.63029;1
 22.88800;  0.40500;      -0.15538;3.63028;1
 22.85600;  0.41000;      -0.15703;3.63028;1
 22.82600;  0.41500;      -0.15864;3.63027;1
 22.79600;  0.42000;      -0.16014;3.63027;1
 22.76400;  0.42500;      -0.16153;3.63026;1
 22.73400;  0.43000;      -0.16271;3.63026;1
 22.70700;  0.43500;      -0.16386;3.63025;1
 22.67800;  0.44000;      -0.16493;3.63025;1
 22.64900;  0.44500;      -0.16580;3.63024;1
 22.62100;  0.45000;      -0.16665;3.63024;1
 22.59400;  0.45500;      -0.16735;3.63023;1
 22.56600;  0.46000;      -0.16787;3.63023;1
 22.54100;  0.46500;      -0.16845;3.63023;1
 22.51300;  0.47000;      -0.16891;3.63022;1
 22.48900;  0.47500;      -0.16931;3.63022;1
 22.46300;  0.48000;      -0.16953;3.63021;1
 22.43900;  0.48500;      -0.16973;3.63021;1
 22.41500;  0.49000;      -0.16982;3.63020;1
 22.38900;  0.49500;      -0.16973;3.63020;1
 22.36500;  0.50000;      -0.16964;3.63020;1
 22.34300;  0.50500;      -0.16955;3.63019;1
 22.32000;  0.51000;      -0.16925;3.63019;1
 22.29600;  0.51500;      -0.16897;3.63018;1
 22.27200;  0.52000;      -0.16865;3.63018;1
 22.24900;  0.52500;      -0.16818;3.63018;1
 22.22800;  0.53000;      -0.16772;3.63017;1
 22.20600;  0.53500;      -0.16710;3.63017;1
 22.18400;  0.54000;      -0.16651;3.63017;1
 22.16200;  0.54500;      -0.16594;3.63016;1
 22.14000;  0.55000;      -0.16526;3.63016;1
 22.12000;  0.55500;      -0.16451;3.63015;1
 22.09900;  0.56000;      -0.16369;3.63015;1
 22.07800;  0.56500;      -0.16290;3.63015;1
 22.05600;  0.57000;      -0.16205;3.63014;1
 22.03500;  0.57500;      -0.16126;3.63014;1
 22.01400;  0.58000;      -0.16041;3.63014;1
 21.99200;  0.58500;      -0.15951;3.63013;1
 21.97200;  0.59000;      -0.15863;3.63013;1
 21.95100;  0.59500;      -0.15773;3.63012;1
 21.93000;  0.60000;      -0.15665;3.63012;1
 21.90900;  0.60500;      -0.15565;3.63012;1
 21.89000;  0.61000;      -0.15475;3.63011;1
 21.86900;  0.61500;      -0.15382;3.63011;1
 21.85100;  0.62000;      -0.15290;3.63011;1
 21.82900;  0.62500;      -0.15199;3.63010;1
 21.80800;  0.63000;      -0.15107;3.63010;1
 21.78600;  0.63500;      -0.15014;3.63009;1
 21.76700;  0.64000;      -0.14919;3.63009;1
 21.74500;  0.64500;      -0.14826;3.63009;1
 21.72500;  0.65000;      -0.14734;3.63008;1
 21.70200;  0.65500;      -0.14644;3.63008;1
 21.68200;  0.66000;      -0.14552;3.63007;1
