Wavenumber,Intensity,DataPoint
470.5533,2.800215,1
474.4103,2.921604,2
478.2673,3.092368,3
482.1243,3.270108,4
485.9813,3.407491,5
489.8383,3.52167,6
493.6953,3.640686,7
497.5523,3.741956,8
501.4093,3.805074,9
505.2663,3.866307,10
509.1233,3.956488,11
512.9803,4.0412,12
516.8373,4.091045,13
520.6943,4.155782,14
524.5513,4.293057,15
528.4083,4.469106,16
532.2653,4.605889,17
536.1223,4.688373,18
539.9792,4.754768,19
543.8362,4.820126,20
547.6932,4.882602,21
551.5502,4.96886,22
555.4072,5.096767,23
559.2642,5.221245,24
563.1212,5.288606,25
566.9782,5.320327,26
570.8352,5.377135,27
574.6922,5.467554,28
578.5492,5.558194,29
582.4062,5.646574,30
586.2632,5.753627,31
590.1202,5.867173,32
593.9772,5.96199,33
597.8342,6.056141,34
601.6912,6.179983,35
605.5482,6.308054,36
609.4052,6.390266,37
613.2621,6.435285,38
617.1191,6.49401,39
620.9761,6.571299,40
624.8331,6.623298,41
628.6901,6.636818,42
632.5471,6.642354,43
636.4041,6.647167,44
640.2611,6.624195,45
644.1181,6.579303,46
647.9751,6.563316,47
651.8321,6.587297,48
655.6891,6.576407,49
659.5461,6.454383,50
663.4031,6.259258,51
667.2601,6.13923,52
671.1171,6.219804,53
674.9741,6.480577,54
678.8311,6.77705,55
682.688,6.991095,56
686.545,7.140504,57
690.402,7.318264,58
694.259,7.552842,59
698.116,7.783933,60
701.973,7.965127,61
705.83,8.116527,62
709.687,8.259562,63
713.544,8.372594,64
717.401,8.446731,65
721.258,8.52305,66
725.115,8.629905,67
728.972,8.735397,68
732.829,8.806273,69
736.686,8.865438,70
740.543,8.945404,71
744.4,9.031444,72
748.257,9.099368,73
752.114,9.166597,74
755.9709,9.255689,75
759.8279,9.346234,76
763.6849,9.412514,77
767.5419,9.472536,78
771.3989,9.551521,79
775.2559,9.631994,80
779.1129,9.687639,81
782.9699,9.73191,82
786.8269,9.786378,83
790.6839,9.836554,84
794.5409,9.867481,85
798.3979,9.908045,86
802.2549,9.989785,87
806.1119,10.09353,88
809.9689,10.1852,89
813.8259,10.27181,90
817.6829,10.37337,91
821.5399,10.47205,92
825.3969,10.54105,93
829.2538,10.59421,94
833.1108,10.65713,95
836.9678,10.71772,96
