Iperp,,Ipara,
X,Y,X,Y
-0.022933149868094915,5932.60520582502,2.1684567264202315,4583.9143064633245
13.782823070748805,5813.037495700034,20.82657624453293,4715.16290726817
23.644077514046558,5908.44513243894,28.90341321713879,4825.679394564843
40.73691854909612,5741.296869625043,44.49358690844758,4924.362376529559
39.42208462332303,5830.048159614723,70.53982086661824,5007.619539043688
67.03359706455683,5749.185873179681,100.3427231841406,5115.107212475633
73.34479990826742,5680.94599243206,94.64510950579063,5001.702786377708
98.58961128310978,5705.796353629171,138.0346290563009,5167.66769865841
104.90081412682036,5637.753697970416,177.47964682949214,5226.243550051599
131.4604594274358,5643.670450636395,216.92466460268327,5275.94427244582
152.4978022398043,5603.732370141039,254.61657047484368,5290.637541566333
181.42414860681117,5631.0973512211895,287.92569659442734,5255.531475748194
181.42414860681117,5569.711042311661,298.4443680006116,5325.64499484004
211.66532889959103,5594.85724114207,333.50660602122593,5323.179681229216
224.81366815732144,5556.398348813209,365.6887316330042,5307.260799056465
249.7955127470093,5572.1763559224855,400.12485826039335,5350.79119367045
272.14768948515086,5549.002407980735,437.81676413255377,5362.920536635706
285.2960287428813,5577.600045866299,477.2617819057449,5368.245614035088
299.75920192638466,5527.554179566563,516.706799678936,5368.245614035088
316.8520429614342,5569.711042311661,556.1518174521273,5388.6584107327135
333.94488399648367,5526.814585483316,595.5968352253183,5395.758513931888
362.87123036349055,5538.6480908152735,633.2887410974788,5395.16683866529
392.7367438203353,5536.746277458351,666.5978672170625,5354.932920536636
419.78475600766626,5516.460268317853,674.4868707717008,5427.708978328173
449.6502694645111,5557.877536979704,709.0012613232429,5365.583075335397
449.6502694645111,5492.053663570691,719.1912242479839,5404.041967664259
481.20628368306404,5551.9607843137255,750.4185299850935,5398.864809081527
481.20628368306404,5494.272445820433,777.0439169819977,5358.187134502923
514.4527986633252,5534.210526315789,803.6693039789018,5403.302373581011
500.92879256965955,5489.834881320949,840.1559454191035,5386.88338493292
542.6278113584615,5521.531770602978,876.2199616688783,5390.94058676102
575.8743263387228,5520.897832817337,906.2263501891987,5357.8173374613
606.1155066315027,5520.404770095172,943.6991170737303,5381.11455108359
640.6768555375368,5521.109145412551,982.1580094025917,5411.73374613003
672.2328697560897,5521.531770602978,1020.4760266679773,5404.887218045113
703.7888839746427,5522.377020983831,1063.67771280052,5421.792225662194
731.0247295799413,5516.460268317853,1100.4930627221652,5411.289989680083
758.1103084508659,5495.15995872033,1139.9380804953562,5412.621259029927
769.1549134273594,5540.866873065015,1176.4247219355582,5420.497936016512
794.136758017047,5519.418644650843,1220.8003669303982,5402.747678018575
814.9111340442612,5487.468180254557,1256.520021913899,5398.125214998279
829.6372740129191,5542.099529870427,1288.5143141077097,5368.541451668387
844.1004471964227,5480.959752321981,1305.6071551427592,5420.608875128999
859.878454305699,5543.085655314757,1342.422505064404,5420.3130374957
875.6564614149756,5480.959752321981,1384.4971906891415,5396.646026831785
891.434468524252,5546.044031647747,1423.9422084623327,5411.73374613003
907.2124756335286,5480.959752321981,1463.3872262355237,5444.571723426212
925.3571838091964,5534.210526315789,1505.7906203417042,5423.271413828689
940.0833237778543,5483.91812865497,1538.8962602584897,5432.146542827657
954.5464969613579,5533.470932232542,1585.1032810785136,5428.976853899454
972.9541719221804,5489.834881320949,1621.1672973282884,5414.840041279669
1001.3170180352845,5498.28738512949,1660.6123151014795,5418.34078660704
1030.806864656194,5504.626762985896,1700.057332874671,5416.171310629515
1064.992546726293,5523.116615067079,1741.4746015365213,5408.29463364293
1096.548560944846,5513.13209494324,1776.317700569507,5421.792225662194
1128.104575163399,5503.147574819401,1818.392386194244,5425.046439628482
1159.097089128049,5524.4901469359675,1857.8374039674354,5398.421052631578
1176.7534304170013,5492.793257653939,1897.2824217406264,5409.958720330237
1187.2721018231857,5554.919160646715,1936.7274395138174,5413.508771929824
1209.6242785613274,5500.682261208576,1976.172457287009,5418.833849329205
1238.5506249283342,5507.585139318885,1999.8394679509233,5427.708978328173
1270.1066391468871,5542.34606123151,,
1270.1066391468871,5480.959752321981,,
1301.66265336544,5529.772961816305,,
1301.66265336544,5476.522187822497,,
1330.5889997324468,5501.6683866529065,,
1352.9411764705885,5480.959752321981,,
1381.1161891657252,5499.555260700771,,
1388.4416924664606,5467.647058823529,,
1413.7992038920836,5501.245761462479,,
1443.1012170950253,5486.031254607105,,
1460.7575583839775,5451.3759889920875,,
1477.8503994190273,5489.834881320949,,
1507.3402460399366,5489.834881320949,,
1514.6657493406722,5449.896800825592,,
1539.64759393036,5486.876504987959,,
1555.4256010396366,5451.3759889920875,,
1572.518442074686,5489.834881320949,,
1601.4447884416927,5496.491228070176,,
1633.0008026602459,5492.053663570691,,
1664.5568168787986,5500.189198486411,,
1672.445820433437,5472.084623323013,,
1697.8033318590597,5505.894638557176,,
1725.3021442495128,5515.276917784657,,
1759.2248595344572,5517.939456484348,,
1790.7808737530104,5512.022703818369,,
1824.0273887332714,5503.781512605042,,
1853.8929021901163,5513.5018919848635,,
1888.078584260215,5506.105951152391,,
1918.6954313889305,5496.1742591773545,,
1948.5609448457749,5498.340213278294,,
1977.7502579979364,5518.235294117647,,
1991.950464396285,5463.2094943240445,,
1999.8394679509233,5534.210526315789,,
