nm	AOI	Psi	Delta
2.500000000000000000e+02	7.000000000000000000e+01	2.718149528834191742e+01	1.212349933462140257e+02
2.653061224489795791e+02	7.000000000000000000e+01	4.012652172005646634e+01	2.612690200966433167e+02
2.806122448979591582e+02	7.000000000000000000e+01	4.694312909405436329e+01	7.993642222281094689e+01
2.959183673469387941e+02	7.000000000000000000e+01	2.755986687582604588e+01	1.282244628839405038e+02
3.112244897959183731e+02	7.000000000000000000e+01	2.708899916039111133e+01	2.365449712729846965e+02
3.265306122448979522e+02	7.000000000000000000e+01	4.397755382997617346e+01	2.705252116504581750e+02
3.418367346938775313e+02	7.000000000000000000e+01	6.816855664666674386e+01	1.043248819512004104e+02
3.571428571428571104e+02	7.000000000000000000e+01	3.837376110475860713e+01	8.350668360456768369e+01
3.724489795918367463e+02	7.000000000000000000e+01	2.764530019085051649e+01	1.172566766417526196e+02
3.877551020408163254e+02	7.000000000000000000e+01	1.963226416288439680e+01	1.843023825988438773e+02
4.030612244897959044e+02	7.000000000000000000e+01	2.388158909385457562e+01	2.441459315993394057e+02
4.183673469387755404e+02	7.000000000000000000e+01	3.180870861839581210e+01	2.713075523488826093e+02
4.336734693877550626e+02	7.000000000000000000e+01	4.235754096855094275e+01	2.794693022751043259e+02
4.489795918367346985e+02	7.000000000000000000e+01	6.640420503573328403e+01	2.741601856291206332e+02
4.642857142857142776e+02	7.000000000000000000e+01	7.088046571615564062e+01	8.439190985409713619e+01
4.795918367346938567e+02	7.000000000000000000e+01	4.581385026903924995e+01	7.808873826777993088e+01
4.948979591836734926e+02	7.000000000000000000e+01	3.495800999153051691e+01	7.961892643000339831e+01
5.102040816326530717e+02	7.000000000000000000e+01	2.802829805880216796e+01	8.720115162909633000e+01
5.255102040816326507e+02	7.000000000000000000e+01	2.198934697682787487e+01	1.000832158939251002e+02
5.408163265306122867e+02	7.000000000000000000e+01	1.633242965724270945e+01	1.198382812598913603e+02
5.561224489795918089e+02	7.000000000000000000e+01	1.198824306115143479e+01	1.514085351662645280e+02
5.714285714285714448e+02	7.000000000000000000e+01	1.099575576464981985e+01	1.943801286607905752e+02
5.867346938775510807e+02	7.000000000000000000e+01	1.359449732287347601e+01	2.294475125048760162e+02
6.020408163265306030e+02	7.000000000000000000e+01	1.761990384049899205e+01	2.507854938525532305e+02
6.173469387755101252e+02	7.000000000000000000e+01	2.176112185421518674e+01	2.641413569586911194e+02
6.326530612244897611e+02	7.000000000000000000e+01	2.572794373295427306e+01	2.730098961399165205e+02
6.479591836734693970e+02	7.000000000000000000e+01	2.962139847488105815e+01	2.790157191305350466e+02
6.632653061224489193e+02	7.000000000000000000e+01	3.375261101777968520e+01	2.828888936616163505e+02
6.785714285714285552e+02	7.000000000000000000e+01	3.857092327296918910e+01	2.851411690322753998e+02
6.938775510204081911e+02	7.000000000000000000e+01	4.471936125401159501e+01	2.862607972581789681e+02
7.091836734693877133e+02	7.000000000000000000e+01	5.303159807768410161e+01	2.870514429522214073e+02
7.244897959183673493e+02	7.000000000000000000e+01	6.424528008807058654e+01	2.898023528734929073e+02
7.397959183673469852e+02	7.000000000000000000e+01	7.767332260441455105e+01	3.059883610524922233e+02
7.551020408163265074e+02	7.000000000000000000e+01	8.093338197177625659e+01	3.821518254700614392e+01
7.704081632653061433e+02	7.000000000000000000e+01	6.873360423261861740e+01	6.693166823250541597e+01
7.857142857142856656e+02	7.000000000000000000e+01	5.800307845119760941e+01	7.142208925314993451e+01
8.010204081632653015e+02	7.000000000000000000e+01	5.001431736670203065e+01	7.249210940146664939e+01
8.163265306122449374e+02	7.000000000000000000e+01	4.414471079847873369e+01	7.296668192340877113e+01
8.316326530612244596e+02	7.000000000000000000e+01	3.972268983471860793e+01	7.360999127721932211e+01
8.469387755102040956e+02	7.000000000000000000e+01	3.626668430244230024e+01	7.466560442654841268e+01
8.622448979591836178e+02	7.000000000000000000e+01	3.342406025738763020e+01	7.609821151417763474e+01
8.775510204081632537e+02	7.000000000000000000e+01	3.098171620046276331e+01	7.791924805084698846e+01
8.928571428571428896e+02	7.000000000000000000e+01	2.880227737976360203e+01	8.011946263121517120e+01
9.081632653061224119e+02	7.000000000000000000e+01	2.679641961582527543e+01	8.268643801607447585e+01
9.234693877551020478e+02	7.000000000000000000e+01	2.490647790252975113e+01	8.561478460783791888e+01
9.387755102040815700e+02	7.000000000000000000e+01	2.309648974731310744e+01	8.890970566205020020e+01
9.540816326530612059e+02	7.000000000000000000e+01	2.134524006176853916e+01	9.259070111346480303e+01
9.693877551020408418e+02	7.000000000000000000e+01	1.964293360360551688e+01	9.669530037383155729e+01
9.846938775510203641e+02	7.000000000000000000e+01	1.798852340041223741e+01	1.012818538164330846e+02
1.000000000000000000e+03	7.000000000000000000e+01	1.638856105973465915e+01	1.064353683230311987e+02
