Wavenumber,Intensity,DataPoint
470.5533,2.418413,1
474.4103,2.554376,2
478.2673,2.696415,3
482.1243,2.790811,4
485.9813,2.807886,5
489.8383,2.783713,6
493.6953,2.751843,7
497.5523,2.699562,8
501.4093,2.624385,9
505.2663,2.565741,10
509.1233,2.538219,11
512.9803,2.488888,12
516.8373,2.358538,13
520.6943,2.133996,14
524.5513,1.815495,15
528.4083,1.402668,16
532.2653,0.9561328,17
536.1223,0.6071786,18
539.9792,0.4486994,19
543.8362,0.4566448,20
547.6932,0.5551028,21
551.5502,0.7058869,22
555.4072,0.8948272,23
559.2642,1.091491,24
563.1212,1.282697,25
566.9782,1.506147,26
570.8352,1.798682,27
574.6922,2.141606,28
578.5492,2.494828,29
582.4062,2.847597,30
586.2632,3.198584,31
590.1202,3.526348,32
593.9772,3.81749,33
597.8342,4.08288,34
601.6912,4.306393,35
605.5482,4.420601,36
609.4052,4.381047,37
613.2621,4.235723,38
617.1191,4.083752,39
620.9761,3.996408,40
624.8331,4.009202,41
628.6901,4.147068,42
632.5471,4.404198,43
636.4041,4.718229,44
640.2611,5.002993,45
644.1181,5.195258,46
647.9751,5.252133,47
651.8321,5.134172,48
655.6891,4.827421,49
659.5461,4.37786,50
663.4031,3.89364,51
667.2601,3.510062,52
671.1171,3.309958,53
674.9741,3.220708,54
678.8311,3.014025,55
682.688,2.497271,56
686.545,1.724014,57
690.402,0.9527816,58
694.259,0.4013372,59
698.116,0.1334654,60
701.973,0.187761,61
705.83,0.6650792,62
709.687,1.585334,63
713.544,2.736888,64
717.401,3.770991,65
721.258,4.415027,66
725.115,4.54439,67
728.972,4.134778,68
732.829,3.27312,69
736.686,2.200336,70
740.543,1.226807,71
744.4,0.554002,72
748.257,0.1964013,73
752.114,0.05711958,74
755.9709,0.03227138,75
759.8279,0.06403679,76
763.6849,0.1661626,77
767.5419,0.421309,78
771.3989,0.9179401,79
775.2559,1.66816,80
779.1129,2.591179,81
782.9699,3.567956,82
786.8269,4.501171,83
790.6839,5.343224,84
794.5409,6.093454,85
798.3979,6.766651,86
802.2549,7.353598,87
806.1119,7.819312,88
809.9689,8.138355,89
813.8259,8.311934,90
817.6829,8.347504,91
821.5399,8.243435,92
825.3969,7.99594,93
829.2538,7.60845,94
833.1108,7.118772,95
836.9678,6.656461,96
840.8248,6.442398,97
844.6818,6.646971,98
848.5388,7.223341,99
852.3958,7.927376,100
856.2528,8.514663,101
860.1098,8.880536,102
863.9668,9.027384,103
867.8238,8.987018,104
871.6808,8.809152,105
875.5378,8.560302,106
879.3948,8.285794,107
883.2518,7.991844,108
887.1088,7.656906,109
890.9658,7.211399,110
894.8228,6.541738,111
898.6798,5.639751,112
902.5368,4.781125,113
