Sample description: 
Sample:   c= 0.5 mg/ml  Code: 
Parent(s): 
 8.345860e-002  1.391119e+002  1.899733e+000
 8.861062e-002  1.347205e+002  1.669083e+000
 9.376263e-002  1.361162e+002  1.535248e+000
 9.891465e-002  1.347574e+002  1.428451e+000
 1.040667e-001  1.337519e+002  1.329548e+000
 1.092187e-001  1.290652e+002  1.263928e+000
 1.143707e-001  1.267226e+002  1.203891e+000
 1.195227e-001  1.277186e+002  1.155427e+000
 1.246747e-001  1.245161e+002  1.109137e+000
 1.298268e-001  1.217891e+002  1.063827e+000
 1.349788e-001  1.207219e+002  1.024109e+000
 1.401308e-001  1.180349e+002  9.940754e-001
 1.452828e-001  1.154074e+002  9.628740e-001
 1.504348e-001  1.153905e+002  9.336250e-001
 1.555868e-001  1.113926e+002  9.108662e-001
 1.607389e-001  1.110396e+002  8.837596e-001
 1.658909e-001  1.080769e+002  8.540084e-001
 1.710429e-001  1.048913e+002  8.395028e-001
 1.761949e-001  1.033527e+002  8.133286e-001
 1.813469e-001  1.008486e+002  7.782410e-001
 1.864990e-001  9.963946e+001  7.790086e-001
 1.916510e-001  9.733972e+001  7.606816e-001
 1.968030e-001  9.538486e+001  7.441954e-001
 2.019550e-001  9.394524e+001  7.397730e-001
 2.071070e-001  9.355344e+001  7.105594e-001
 2.122590e-001  8.825380e+001  6.938434e-001
 2.174111e-001  8.724098e+001  6.899862e-001
 2.225631e-001  8.504824e+001  6.714404e-001
 2.277151e-001  8.327706e+001  6.564930e-001
 2.328671e-001  8.129356e+001  6.529756e-001
 2.380191e-001  8.011484e+001  6.323600e-001
 2.431712e-001  7.819982e+001  6.266418e-001
 2.483232e-001  7.706584e+001  6.202048e-001
 2.534752e-001  7.516536e+001  6.055568e-001
 2.586272e-001  7.307078e+001  5.930688e-001
 2.637792e-001  7.026712e+001  5.885764e-001
 2.689312e-001  6.929526e+001  5.771102e-001
 2.740833e-001  6.812174e+001  5.653240e-001
 2.792353e-001  6.714846e+001  5.630764e-001
 2.843873e-001  6.530178e+001  5.503858e-001
 2.895393e-001  6.320758e+001  5.517520e-001
 2.946913e-001  6.160020e+001  5.561574e-001
 2.998434e-001  6.070450e+001  5.496326e-001
 3.049954e-001  5.847942e+001  5.499064e-001
