nm	AOI	Psi	Delta
2.500000000000000000e+02	7.000000000000000000e+01	4.524532013310487599e+01	2.537272178134454350e+02
2.594936708860759609e+02	7.000000000000000000e+01	4.769679401173980438e+01	8.740315166176786477e+01
2.689873417721519218e+02	7.000000000000000000e+01	3.890817577283944928e+01	9.670129438461013649e+01
2.784810126582278258e+02	7.000000000000000000e+01	3.401009282227797570e+01	1.710206748583472063e+02
2.879746835443037867e+02	7.000000000000000000e+01	3.687143521271731572e+01	2.455094045972502954e+02
2.974683544303797476e+02	7.000000000000000000e+01	4.532029924138578991e+01	2.630434879683512008e+02
3.069620253164557084e+02	7.000000000000000000e+01	6.696647970383932602e+01	1.358888804483333956e+02
3.164556962025316693e+02	7.000000000000000000e+01	4.188433614624505452e+01	8.172050683389637982e+01
3.259493670886075734e+02	7.000000000000000000e+01	3.364342104777940534e+01	9.628078195418689234e+01
3.354430379746835342e+02	7.000000000000000000e+01	2.708471767350225790e+01	1.351791297239122400e+02
3.449367088607594951e+02	7.000000000000000000e+01	2.514311697380525956e+01	1.920036078714167616e+02
3.544303797468354560e+02	7.000000000000000000e+01	3.020118433084956422e+01	2.390096752041202137e+02
3.639240506329114169e+02	7.000000000000000000e+01	3.702148268319717062e+01	2.650527388249683440e+02
3.734177215189873777e+02	7.000000000000000000e+01	4.602981543250292873e+01	2.691713776303138275e+02
3.829113924050633386e+02	7.000000000000000000e+01	7.142721067746590791e+01	2.284664229261970547e+02
3.924050632911392427e+02	7.000000000000000000e+01	5.877254033912298326e+01	9.605478469322443402e+01
4.018987341772152035e+02	7.000000000000000000e+01	4.194376948453467691e+01	8.238549710584069885e+01
4.113924050632911644e+02	7.000000000000000000e+01	3.395297418715571069e+01	8.654566602421097343e+01
4.208860759493670685e+02	7.000000000000000000e+01	2.782874372842232802e+01	9.940268995812785136e+01
4.303797468354430293e+02	7.000000000000000000e+01	2.203835195960113680e+01	1.200910923450341130e+02
4.398734177215189902e+02	7.000000000000000000e+01	1.735554606151940149e+01	1.508190756938232937e+02
4.493670886075949511e+02	7.000000000000000000e+01	1.580681313560997125e+01	1.904723141438527705e+02
4.588607594936709120e+02	7.000000000000000000e+01	1.798246493931294410e+01	2.260149105069404811e+02
4.683544303797468729e+02	7.000000000000000000e+01	2.201877136581975591e+01	2.501291369663906323e+02
4.778481012658228337e+02	7.000000000000000000e+01	2.634839167892473100e+01	2.657435147802848974e+02
4.873417721518987946e+02	7.000000000000000000e+01	3.074344082141302081e+01	2.756906104252616956e+02
4.968354430379746987e+02	7.000000000000000000e+01	3.567776478996614742e+01	2.816824452417503153e+02
5.063291139240506595e+02	7.000000000000000000e+01	4.230334901045798546e+01	2.845082294199595481e+02
5.158227848101266773e+02	7.000000000000000000e+01	5.264518439128762139e+01	2.855308301361562258e+02
5.253164556962026381e+02	7.000000000000000000e+01	6.929136507633346298e+01	2.900328612969997266e+02
5.348101265822784853e+02	7.000000000000000000e+01	8.289562962755589126e+01	2.701911162127967359e+01
5.443037974683544462e+02	7.000000000000000000e+01	6.463774314242803598e+01	7.009761250560434576e+01
5.537974683544304071e+02	7.000000000000000000e+01	5.084425346513783950e+01	7.259013686388765052e+01
5.632911392405063680e+02	7.000000000000000000e+01	4.223820702346792899e+01	7.344453743830651149e+01
5.727848101265823288e+02	7.000000000000000000e+01	3.653265494581770412e+01	7.523543086899513810e+01
